source,source_label,target,target_label,value
http://www.biii.eu/performing-automatic-registration-clem/step_1,Spot detection,http://www.biii.eu/performing-automatic-registration-clem/step_3,Image registration,2
http://www.biii.eu/performing-automatic-registration-clem/step_2,Spot detection,http://www.biii.eu/performing-automatic-registration-clem/step_3,Image registration,2
